Date,Sr.No.,Transaction Details,Reward Point Header,Intl.Amount,Amount(in Rs),BillingAmountSign
15/01/2024,1,SWIGGY ORDER #112233,,0.00,450.00,Dr
16/01/2024,2,AMAZON PURCHASE B09XYZ,,0.00,2999.00,Dr
17/01/2024,3,PAYMENT RECEIVED - THANK YOU,,0.00,10000.00,Cr
18/01/2024,4,UBER TRIP MG ROAD,,0.00,185.00,Dr
19/01/2024,5,NETFLIX SUBSCRIPTION,,0.00,649.00,Dr
20/01/2024,6,ZOMATO FOOD ORDER,,0.00,620.00,Dr
21/01/2024,7,AIRTEL RECHARGE,,0.00,599.00,Dr
22/01/2024,8,FLIPKART ORDER,,0.00,1499.00,Dr
23/01/2024,9,APOLLO PHARMACY,,0.00,234.00,Dr
24/01/2024,10,REFUND - AMAZON,,0.00,299.00,Cr
25/01/2024,11,IRCTC TRAIN TICKET,,0.00,1450.00,Dr
26/01/2024,12,BOOKMYSHOW TICKET,,0.00,420.00,Dr
